DIPUTACIONES LOCALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021 18:52 (UTC-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'040137B0100,'040137B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0137,1,B,0,2,3,,,,,1,2,1,36,31,22,15,46,44,22,25,42,21,17,41,,,,268,,,,,,,,,,,
'040138B0100,'040138B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0138,1,B,0,2,3,,,,,1,2,1,35,36,43,27,47,37,18,39,29,24,22,24,,,,563,,,,,,,,,,,
'040139B0100,'040139B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0139,1,B,0,2,3,,,,,1,2,1,2,38,45,5,37,36,34,26,48,41,28,15,,,,731,,,,,,,,,,,
'040139C0100,'040139C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0139,1,C,0,2,3,,,,,1,2,1,4,23,49,36,35,13,8,29,31,41,8,9,,,,731,,,,,,,,,,,
'040139C0200,'040139C020003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0139,2,C,0,2,3,,,,,1,2,1,1,47,20,23,25,29,38,43,15,32,39,42,,,,731,,,,,,,,,,,
'040139C0300,'040139C030003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0139,3,C,0,2,3,,,,,1,2,1,30,47,18,34,21,37,38,21,38,38,40,29,,,,731,,,,,,,,,,,
'040140B0100,'040140B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0140,1,B,0,2,3,,,,,1,2,1,34,21,36,48,39,13,11,4,24,14,36,13,,,,458,,,,,,,,,,,
'040140C0100,'040140C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0140,1,C,0,2,3,,,,,1,2,1,39,17,34,39,25,14,5,40,28,25,19,36,,,,458,,,,,,,,,,,
'040141B0100,'040141B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0141,1,B,0,1,3,,,,,1,2,1,43,15,40,27,24,5,35,48,8,30,27,14,,,,456,,,,,,,,,,,
'040141C0100,'040141C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0141,1,C,0,1,3,,,,,1,2,1,32,39,38,3,16,33,6,8,17,18,2,34,,,,456,,,,,,,,,,,
'040142B0100,'040142B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0142,1,B,0,2,3,,,,,1,2,1,15,3,22,4,39,12,37,24,6,42,13,1,,,,687,,,,,,,,,,,
'040142C0100,'040142C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0142,1,C,0,2,3,,,,,1,2,1,2,22,11,44,11,19,33,3,19,22,17,1,,,,686,,,,,,,,,,,
'040142C0200,'040142C020003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0142,2,C,0,2,3,,,,,1,2,1,7,26,43,27,48,39,31,46,15,44,10,26,,,,686,,,,,,,,,,,
'040142C0300,'040142C030003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0142,3,C,0,2,3,,,,,1,2,1,31,49,12,8,33,42,45,10,20,2,49,22,,,,686,,,,,,,,,,,
'040143B0100,'040143B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0143,1,B,0,2,3,,,,,1,2,1,23,1,8,4,16,2,37,32,20,47,12,29,,,,382,,,,,,,,,,,
'040144B0100,'040144B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0144,1,B,0,2,3,,,,,1,2,1,46,47,22,37,41,44,27,48,7,17,25,43,,,,250,,,,,,,,,,,
'040145B0100,'040145B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0145,1,B,0,2,3,,,,,1,2,1,39,49,26,15,19,2,40,19,16,17,4,41,,,,423,,,,,,,,,,,
'040145C0100,'040145C010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0145,1,C,0,2,3,,,,,1,2,1,23,41,6,34,7,19,43,19,41,3,45,37,,,,422,,,,,,,,,,,
'040146B0100,'040146B010003,'04,CAMPECHE,'006,006. SAN FRANCISCO DE CAMPECHE,'0146,1,B,0,2,3,,,,,1,2,1,32,24,2,18,6,5,13,28,19,8,8,10,,,,491,,,,,,,,,,,
'040147B0100,'040147B010003,'04,CAMPECHE,'017,017. CALKINI,'0147,1,B,0,2,3,,,,,1,2,1,6,9,1,5,42,37,13,40,26,37,27,21,,,,601,,,,,,,,,,,
'040147C0100,'040147C010003,'04,CAMPECHE,'017,017. CALKINI,'0147,1,C,0,2,3,,,,,1,2,1,36,40,8,9,45,26,42,29,5,38,23,4,,,,600,,,,,,,,,,,
'040147C0200,'040147C020003,'04,CAMPECHE,'017,017. CALKINI,'0147,2,C,0,2,3,,,,,1,2,1,28,20,29,8,19,31,24,6,29,40,37,10,,,,600,,,,,,,,,,,
'040148B0100,'040148B010003,'04,CAMPECHE,'017,017. CALKINI,'0148,1,B,0,1,3,,,,,1,2,1,41,19,11,45,40,45,43,14,19,26,3,1,,,,565,,,,,,,,,,,
'040148C0100,'040148C010003,'04,CAMPECHE,'017,017. CALKINI,'0148,1,C,0,1,3,,,,,1,2,1,46,24,2,21,21,14,29,28,8,40,45,13,,,,565,,,,,,,,,,,
'040149B0100,'040149B010003,'04,CAMPECHE,'017,017. CALKINI,'0149,1,B,0,1,3,,,,,1,2,1,32,19,15,17,25,46,41,18,28,20,25,24,,,,579,,,,,,,,,,,
'040149C0100,'040149C010003,'04,CAMPECHE,'017,017. CALKINI,'0149,1,C,0,1,3,,,,,1,2,1,25,10,6,11,26,1,31,48,25,23,18,18,,,,578,,,,,,,,,,,
'040150B0100,'040150B010003,'04,CAMPECHE,'017,017. CALKINI,'0150,1,B,0,1,3,,,,,1,2,1,23,47,4,33,23,32,20,8,33,41,14,15,,,,397,,,,,,,,,,,
'040150C0100,'040150C010003,'04,CAMPECHE,'017,017. CALKINI,'0150,1,C,0,1,3,,,,,1,2,1,45,33,33,6,27,24,6,34,37,41,48,36,,,,397,,,,,,,,,,,
'040151B0100,'040151B010003,'04,CAMPECHE,'017,017. CALKINI,'0151,1,B,0,1,3,,,,,1,2,1,34,11,49,32,19,23,26,29,41,9,8,42,,,,416,,,,,,,,,,,
'040151C0100,'040151C010003,'04,CAMPECHE,'017,017. CALKINI,'0151,1,C,0,1,3,,,,,1,2,1,46,2,18,18,42,10,6,33,45,21,25,40,,,,415,,,,,,,,,,,
'040152B0100,'040152B010003,'04,CAMPECHE,'017,017. CALKINI,'0152,1,B,0,2,3,,,,,1,2,1,11,24,12,39,41,20,46,34,29,4,45,49,,,,533,,,,,,,,,,,
'040152C0100,'040152C010003,'04,CAMPECHE,'017,017. CALKINI,'0152,1,C,0,2,3,,,,,1,2,1,40,25,38,46,18,31,1,23,25,41,29,31,,,,533,,,,,,,,,,,
'040153B0100,'040153B010003,'04,CAMPECHE,'017,017. CALKINI,'0153,1,B,0,2,3,,,,,1,2,1,21,11,47,49,12,33,17,14,39,32,5,47,,,,531,,,,,,,,,,,
'040153C0100,'040153C010003,'04,CAMPECHE,'017,017. CALKINI,'0153,1,C,0,2,3,,,,,1,2,1,34,21,19,48,31,18,5,47,25,11,47,3,,,,530,,,,,,,,,,,
'040154B0100,'040154B010003,'04,CAMPECHE,'017,017. CALKINI,'0154,1,B,0,1,3,,,,,1,2,1,24,43,26,48,20,21,31,15,40,27,24,14,,,,622,,,,,,,,,,,
'040154C0100,'040154C010003,'04,CAMPECHE,'017,017. CALKINI,'0154,1,C,0,1,3,,,,,1,2,1,27,14,13,21,16,9,20,12,10,14,27,29,,,,622,,,,,,,,,,,
'040154C0200,'040154C020003,'04,CAMPECHE,'017,017. CALKINI,'0154,2,C,0,1,3,,,,,1,2,1,42,48,43,26,33,39,10,31,40,17,37,48,,,,622,,,,,,,,,,,
'040155B0100,'040155B010003,'04,CAMPECHE,'017,017. CALKINI,'0155,1,B,0,1,3,,,,,1,2,1,19,46,1,16,33,20,46,27,6,45,40,19,,,,714,,,,,,,,,,,
'040155C0100,'040155C010003,'04,CAMPECHE,'017,017. CALKINI,'0155,1,C,0,1,3,,,,,1,2,1,6,49,19,37,1,44,34,33,2,14,35,1,,,,714,,,,,,,,,,,
'040156B0100,'040156B010003,'04,CAMPECHE,'017,017. CALKINI,'0156,1,B,0,1,3,,,,,1,2,1,49,10,27,31,24,30,6,29,18,16,18,7,,,,477,,,,,,,,,,,
'040156C0100,'040156C010003,'04,CAMPECHE,'017,017. CALKINI,'0156,1,C,0,1,3,,,,,1,2,1,35,49,3,13,36,29,11,34,6,48,48,30,,,,476,,,,,,,,,,,
'040157B0100,'040157B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0157,1,B,0,2,3,,,,,1,2,1,46,26,4,47,25,22,24,18,14,18,43,6,,,,380,,,,,,,,,,,
'040157C0100,'040157C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0157,1,C,0,2,3,,,,,1,2,1,46,33,49,49,9,11,35,20,25,27,30,49,,,,380,,,,,,,,,,,
'040158B0100,'040158B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0158,1,B,0,2,3,,,,,1,2,1,36,32,11,23,30,13,37,11,41,26,31,47,,,,441,,,,,,,,,,,
'040158C0100,'040158C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0158,1,C,0,2,3,,,,,1,2,1,28,38,34,46,15,18,30,32,9,30,27,25,,,,441,,,,,,,,,,,
'040159B0100,'040159B010003,'04,CAMPECHE,'017,017. CALKINI,'0159,1,B,0,1,3,,,,,1,2,1,12,40,11,48,34,29,27,29,8,32,15,4,,,,412,,,,,,,,,,,
'040159C0100,'040159C010003,'04,CAMPECHE,'017,017. CALKINI,'0159,1,C,0,1,3,,,,,1,2,1,33,25,42,21,2,3,2,23,10,41,20,36,,,,411,,,,,,,,,,,
'040160B0100,'040160B010003,'04,CAMPECHE,'017,017. CALKINI,'0160,1,B,0,2,3,,,,,1,2,1,35,28,8,20,44,40,42,45,18,27,39,6,,,,417,,,,,,,,,,,
'040160C0100,'040160C010003,'04,CAMPECHE,'017,017. CALKINI,'0160,1,C,0,2,3,,,,,1,2,1,19,41,7,21,32,6,11,40,4,23,21,34,,,,417,,,,,,,,,,,
'040161B0100,'040161B010003,'04,CAMPECHE,'017,017. CALKINI,'0161,1,B,0,1,3,,,,,1,2,1,1,33,24,24,46,41,25,7,4,42,35,25,,,,407,,,,,,,,,,,
'040161C0100,'040161C010003,'04,CAMPECHE,'017,017. CALKINI,'0161,1,C,0,1,3,,,,,1,2,1,14,14,31,16,42,45,34,44,25,11,26,37,,,,406,,,,,,,,,,,
'040162B0100,'040162B010003,'04,CAMPECHE,'017,017. CALKINI,'0162,1,B,0,1,3,,,,,1,2,1,35,38,24,22,38,11,28,48,22,10,38,26,,,,521,,,,,,,,,,,
'040162C0100,'040162C010003,'04,CAMPECHE,'017,017. CALKINI,'0162,1,C,0,1,3,,,,,1,2,1,39,8,45,43,23,40,11,28,18,21,30,38,,,,521,,,,,,,,,,,
'040163B0100,'040163B010003,'04,CAMPECHE,'017,017. CALKINI,'0163,1,B,0,1,3,,,,,1,2,1,41,8,21,22,14,13,16,28,44,25,39,20,,,,415,,,,,,,,,,,
'040163C0100,'040163C010003,'04,CAMPECHE,'017,017. CALKINI,'0163,1,C,0,1,3,,,,,1,2,1,41,15,25,22,8,24,14,40,31,42,38,49,,,,414,,,,,,,,,,,
'040164B0100,'040164B010003,'04,CAMPECHE,'017,017. CALKINI,'0164,1,B,0,1,3,,,,,1,2,1,22,30,13,29,47,22,31,24,22,40,25,1,,,,447,,,,,,,,,,,
'040164C0100,'040164C010003,'04,CAMPECHE,'017,017. CALKINI,'0164,1,C,0,1,3,,,,,1,2,1,28,26,23,15,14,16,40,14,32,4,27,36,,,,447,,,,,,,,,,,
'040165B0100,'040165B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0165,1,B,0,2,3,,,,,1,2,1,43,45,32,49,24,4,30,10,22,20,18,30,,,,285,,,,,,,,,,,
'040166B0100,'040166B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0166,1,B,0,1,3,,,,,1,2,1,15,30,9,44,15,33,14,3,31,9,47,26,,,,719,,,,,,,,,,,
'040166C0100,'040166C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0166,1,C,0,1,3,,,,,1,2,1,19,33,22,37,5,21,38,14,8,43,22,13,,,,719,,,,,,,,,,,
'040166C0200,'040166C020003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0166,2,C,0,1,3,,,,,1,2,1,25,29,44,30,17,49,24,3,21,18,13,16,,,,719,,,,,,,,,,,
'040167B0100,'040167B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0167,1,B,0,2,3,,,,,1,2,1,5,31,15,25,49,7,25,42,26,31,18,31,,,,604,,,,,,,,,,,
'040167C0100,'040167C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0167,1,C,0,2,3,,,,,1,2,1,24,26,8,42,20,16,11,20,36,33,42,18,,,,603,,,,,,,,,,,
'040168B0100,'040168B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0168,1,B,0,1,3,,,,,1,2,1,36,42,9,4,4,33,44,32,21,44,27,14,,,,671,,,,,,,,,,,
'040168C0100,'040168C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0168,1,C,0,1,3,,,,,1,2,1,37,22,5,24,37,42,10,10,13,42,38,18,,,,671,,,,,,,,,,,
'040169B0100,'040169B010003,'04,CAMPECHE,'017,017. CALKINI,'0169,1,B,0,2,3,,,,,1,2,1,38,33,28,44,21,5,44,41,25,41,8,28,,,,531,,,,,,,,,,,
'040169C0100,'040169C010003,'04,CAMPECHE,'017,017. CALKINI,'0169,1,C,0,2,3,,,,,1,2,1,30,37,35,33,2,46,18,41,32,40,12,19,,,,531,,,,,,,,,,,
'040169C0200,'040169C020003,'04,CAMPECHE,'017,017. CALKINI,'0169,2,C,0,2,3,,,,,1,2,1,31,31,24,35,44,3,48,48,25,11,9,26,,,,530,,,,,,,,,,,
'040170B0100,'040170B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0170,1,B,0,2,3,,,,,1,2,1,11,36,31,35,21,17,16,16,46,21,24,31,,,,497,,,,,,,,,,,
'040170C0100,'040170C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0170,1,C,0,2,3,,,,,1,2,1,39,33,20,45,17,8,26,41,38,39,11,47,,,,497,,,,,,,,,,,
'040171B0100,'040171B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0171,1,B,0,2,3,,,,,1,2,1,32,3,40,45,37,9,28,13,12,2,49,13,,,,702,,,,,,,,,,,
'040172B0100,'040172B010003,'04,CAMPECHE,'017,017. CALKINI,'0172,1,B,0,2,3,,,,,1,2,1,38,25,10,43,48,32,32,12,17,36,43,26,,,,748,,,,,,,,,,,
'040172C0100,'040172C010003,'04,CAMPECHE,'017,017. CALKINI,'0172,1,C,0,2,3,,,,,1,2,1,35,7,39,14,16,28,36,5,22,29,33,31,,,,748,,,,,,,,,,,
'040173B0100,'040173B010003,'04,CAMPECHE,'017,017. CALKINI,'0173,1,B,0,1,3,,,,,1,2,1,28,3,33,25,23,30,35,15,23,38,12,7,,,,644,,,,,,,,,,,
'040173C0100,'040173C010003,'04,CAMPECHE,'017,017. CALKINI,'0173,1,C,0,1,3,,,,,1,2,1,27,12,45,46,38,23,11,19,13,41,9,47,,,,644,,,,,,,,,,,
'040173C0200,'040173C020003,'04,CAMPECHE,'017,017. CALKINI,'0173,2,C,0,1,3,,,,,1,2,1,14,28,6,6,19,19,39,37,16,40,27,11,,,,644,,,,,,,,,,,
'040174B0100,'040174B010003,'04,CAMPECHE,'017,017. CALKINI,'0174,1,B,0,2,3,,,,,1,2,1,14,49,47,49,45,44,42,40,20,14,48,3,,,,647,,,,,,,,,,,
'040174C0100,'040174C010003,'04,CAMPECHE,'017,017. CALKINI,'0174,1,C,0,2,3,,,,,1,2,1,26,4,31,48,18,44,38,32,33,12,45,10,,,,646,,,,,,,,,,,
'040175B0100,'040175B010003,'04,CAMPECHE,'017,017. CALKINI,'0175,1,B,0,1,3,,,,,1,2,1,34,30,21,2,10,30,4,48,20,35,31,8,,,,710,,,,,,,,,,,
'040175C0100,'040175C010003,'04,CAMPECHE,'017,017. CALKINI,'0175,1,C,0,1,3,,,,,1,2,1,10,38,27,20,16,28,40,26,5,39,15,13,,,,710,,,,,,,,,,,
'040175C0200,'040175C020003,'04,CAMPECHE,'017,017. CALKINI,'0175,2,C,0,1,3,,,,,1,2,1,2,21,41,17,33,38,5,12,28,38,4,34,,,,710,,,,,,,,,,,
'040176B0100,'040176B010003,'04,CAMPECHE,'017,017. CALKINI,'0176,1,B,0,2,3,,,,,1,2,1,24,18,7,30,48,44,8,30,44,30,7,49,,,,732,,,,,,,,,,,
'040176C0100,'040176C010003,'04,CAMPECHE,'017,017. CALKINI,'0176,1,C,0,2,3,,,,,1,2,1,30,29,39,48,26,21,37,9,25,46,10,46,,,,732,,,,,,,,,,,
'040176C0200,'040176C020003,'04,CAMPECHE,'017,017. CALKINI,'0176,2,C,0,2,3,,,,,1,2,1,40,3,42,7,11,7,32,21,28,31,23,12,,,,731,,,,,,,,,,,
'040177B0100,'040177B010003,'04,CAMPECHE,'017,017. CALKINI,'0177,1,B,0,1,3,,,,,1,2,1,34,31,2,44,14,46,16,26,15,18,46,31,,,,619,,,,,,,,,,,
'040177C0100,'040177C010003,'04,CAMPECHE,'017,017. CALKINI,'0177,1,C,0,1,3,,,,,1,2,1,9,34,4,32,19,41,7,21,16,1,22,15,,,,619,,,,,,,,,,,
'040177C0200,'040177C020003,'04,CAMPECHE,'017,017. CALKINI,'0177,2,C,0,1,3,,,,,1,2,1,35,4,28,16,12,42,8,49,13,20,4,42,,,,618,,,,,,,,,,,
'040178B0100,'040178B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0178,1,B,0,2,3,,,,,1,2,1,18,23,45,33,6,49,34,48,4,49,11,12,,,,326,,,,,,,,,,,
'040179B0100,'040179B010003,'04,CAMPECHE,'017,017. CALKINI,'0179,1,B,0,2,3,,,,,1,2,1,23,26,3,30,33,26,38,22,22,36,14,6,,,,744,,,,,,,,,,,
'040179C0100,'040179C010003,'04,CAMPECHE,'017,017. CALKINI,'0179,1,C,0,2,3,,,,,1,2,1,13,17,11,17,19,29,33,12,47,2,13,17,,,,743,,,,,,,,,,,
'040180B0100,'040180B010003,'04,CAMPECHE,'017,017. CALKINI,'0180,1,B,0,2,3,,,,,1,2,1,13,40,35,5,49,18,38,7,3,46,45,17,,,,689,,,,,,,,,,,
'040180C0100,'040180C010003,'04,CAMPECHE,'017,017. CALKINI,'0180,1,C,0,2,3,,,,,1,2,1,8,17,23,15,38,30,39,17,48,30,48,7,,,,689,,,,,,,,,,,
'040180C0200,'040180C020003,'04,CAMPECHE,'017,017. CALKINI,'0180,2,C,0,2,3,,,,,1,2,1,2,36,30,46,21,14,29,30,45,2,9,14,,,,688,,,,,,,,,,,
'040181B0100,'040181B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0181,1,B,0,2,3,,,,,1,2,1,5,19,9,2,40,19,12,33,3,5,2,48,,,,346,,,,,,,,,,,
'040181E0100,'040181E010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0181,1,E,0,2,3,,,,,1,2,1,25,37,30,36,34,41,31,20,22,8,7,12,,,,191,,,,,,,,,,,
'040182B0100,'040182B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0182,1,B,0,2,3,,,,,1,2,1,14,29,7,47,11,16,7,36,36,41,38,3,,,,180,,,,,,,,,,,
'040359B0100,'040359B010003,'04,CAMPECHE,'021,021. XPUJIL,'0359,1,B,0,2,3,,,,,1,2,1,9,10,9,31,8,17,27,37,32,39,39,2,,,,490,,,,,,,,,,,
'040359C0100,'040359C010003,'04,CAMPECHE,'021,021. XPUJIL,'0359,1,C,0,2,3,,,,,1,2,1,12,10,20,26,13,42,6,32,5,26,34,30,,,,490,,,,,,,,,,,
'040360B0100,'040360B010003,'04,CAMPECHE,'021,021. XPUJIL,'0360,1,B,0,2,3,,,,,1,2,1,6,25,20,2,30,21,31,4,26,29,31,5,,,,706,,,,,,,,,,,
'040360C0100,'040360C010003,'04,CAMPECHE,'021,021. XPUJIL,'0360,1,C,0,2,3,,,,,1,2,1,27,18,21,38,14,19,30,1,7,21,35,1,,,,706,,,,,,,,,,,
'040362B0100,'040362B010003,'04,CAMPECHE,'021,021. XPUJIL,'0362,1,B,0,2,3,,,,,1,2,1,18,28,12,3,13,46,13,21,12,17,14,13,,,,450,,,,,,,,,,,
'040362E0100,'040362E010003,'04,CAMPECHE,'021,021. XPUJIL,'0362,1,E,0,2,3,,,,,1,2,1,14,18,27,27,13,35,15,6,17,21,10,29,,,,533,,,,,,,,,,,
'040363B0100,'040363B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0363,1,B,0,2,3,,,,,1,2,1,43,25,21,39,29,45,4,43,42,40,12,25,,,,668,,,,,,,,,,,
'040363C0100,'040363C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0363,1,C,0,2,3,,,,,1,2,1,12,12,8,43,27,28,1,14,32,24,17,16,,,,668,,,,,,,,,,,
'040363C0200,'040363C020003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0363,2,C,0,2,3,,,,,1,2,1,1,9,35,17,5,48,25,23,16,1,2,32,,,,668,,,,,,,,,,,
'040364B0100,'040364B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0364,1,B,0,1,3,,,,,1,2,1,1,30,49,49,28,13,2,8,8,44,17,6,,,,715,,,,,,,,,,,
'040364C0100,'040364C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0364,1,C,0,1,3,,,,,1,2,1,4,1,15,5,28,8,19,4,5,1,16,31,,,,715,,,,,,,,,,,
'040364C0200,'040364C020003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0364,2,C,0,1,3,,,,,1,2,1,30,20,18,46,5,9,16,21,19,6,20,39,,,,715,,,,,,,,,,,
'040365B0100,'040365B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0365,1,B,0,1,3,,,,,1,2,1,36,33,8,7,23,14,39,31,49,12,36,5,,,,478,,,,,,,,,,,
'040365C0100,'040365C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0365,1,C,0,1,3,,,,,1,2,1,5,46,38,39,4,13,30,24,18,9,33,36,,,,478,,,,,,,,,,,
'040366B0100,'040366B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0366,1,B,0,1,3,,,,,1,2,1,15,21,44,19,9,30,31,45,24,10,10,18,,,,607,,,,,,,,,,,
'040366C0100,'040366C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0366,1,C,0,1,3,,,,,1,2,1,35,31,7,37,46,7,20,49,1,37,28,5,,,,607,,,,,,,,,,,
'040367B0100,'040367B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0367,1,B,0,2,3,,,,,1,2,1,22,47,39,29,3,11,27,24,31,30,6,23,,,,623,,,,,,,,,,,
'040367C0100,'040367C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0367,1,C,0,2,3,,,,,1,2,1,28,38,4,14,4,9,29,35,38,13,43,11,,,,622,,,,,,,,,,,
'040368B0100,'040368B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0368,1,B,0,1,3,,,,,1,2,1,9,8,14,25,5,37,25,18,1,6,27,48,,,,600,,,,,,,,,,,
'040368C0100,'040368C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0368,1,C,0,1,3,,,,,1,2,1,37,31,23,13,19,45,32,14,47,10,29,9,,,,599,,,,,,,,,,,
'040369B0100,'040369B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0369,1,B,0,2,3,,,,,1,2,1,23,34,22,26,7,3,23,4,20,12,4,29,,,,391,,,,,,,,,,,
'040369C0100,'040369C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0369,1,C,0,2,3,,,,,1,2,1,30,21,43,1,15,19,48,15,12,27,9,47,,,,391,,,,,,,,,,,
'040370B0100,'040370B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0370,1,B,0,2,3,,,,,1,2,1,26,21,43,48,27,39,32,31,20,9,47,47,,,,690,,,,,,,,,,,
'040370C0100,'040370C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0370,1,C,0,2,3,,,,,1,2,1,5,2,49,1,39,26,32,5,25,27,37,44,,,,690,,,,,,,,,,,
'040371B0100,'040371B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0371,1,B,0,2,3,,,,,1,2,1,40,21,20,34,8,32,49,40,46,26,33,33,,,,474,,,,,,,,,,,
'040371C0100,'040371C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0371,1,C,0,2,3,,,,,1,2,1,3,37,23,27,38,24,41,3,42,22,10,28,,,,473,,,,,,,,,,,
'040372B0100,'040372B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0372,1,B,0,2,3,,,,,1,2,1,7,35,20,2,47,35,4,17,43,14,16,28,,,,742,,,,,,,,,,,
'040372C0100,'040372C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0372,1,C,0,2,3,,,,,1,2,1,24,6,6,1,4,42,22,22,29,4,33,15,,,,741,,,,,,,,,,,
'040373B0100,'040373B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0373,1,B,0,2,3,,,,,1,2,1,46,12,28,28,1,31,1,38,15,39,6,18,,,,502,,,,,,,,,,,
'040373C0100,'040373C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0373,1,C,0,2,3,,,,,1,2,1,36,41,37,14,7,31,44,1,22,28,21,30,,,,502,,,,,,,,,,,
'040374B0100,'040374B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0374,1,B,0,2,3,,,,,1,2,1,25,8,20,8,41,26,31,5,28,20,29,11,,,,354,,,,,,,,,,,
'040375B0100,'040375B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0375,1,B,0,1,3,,,,,1,2,1,14,42,41,45,10,2,4,13,36,34,8,2,,,,531,,,,,,,,,,,
'040375C0100,'040375C010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0375,1,C,0,1,3,,,,,1,2,1,21,20,41,28,47,41,46,23,34,25,9,20,,,,531,,,,,,,,,,,
'040375C0200,'040375C020003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0375,2,C,0,1,3,,,,,1,2,1,34,20,42,10,33,34,23,7,38,3,34,5,,,,531,,,,,,,,,,,
'040376B0100,'040376B010003,'04,CAMPECHE,'019,019. HECELCHAKAN,'0376,1,B,0,2,3,,,,,1,2,1,26,15,40,22,10,27,21,13,37,17,35,26,,,,512,,,,,,,,,,,
